metric,category,mean,std
Fitness,L_Real,0.9415442655522334,2.2316322462394835e-16
Fitness,L_AR,0.9293163545961362,0.010606867775000937
Fitness,L_PNC,0.9430641087872008,0.011601131142032504
Precision,L_Real,0.6185951162675662,2.2316322462394835e-16
Precision,L_AR,0.7083384144543692,0.05561988752785212
Precision,L_PNC,0.33253561159180345,0.008728676311638683
Generalization,L_Real,0.8499455080717115,0.0
Generalization,L_AR,0.8417827537710794,0.010198656495153124
Generalization,L_PNC,0.7722146250370469,0.004121055753428655
Simplicity,L_Real,0.5929203539823008,0.0
Simplicity,L_AR,0.623634604120997,0.012496853833741772
Simplicity,L_PNC,0.6124107632417491,0.004863414496914275
