metric,category,mean,std
Number of events,L_Real,15214.0,0.0
Number of events,L_AR,12558.41,546.7710560900035
Number of events,L_PNC,12424.19,723.2258919646619
Number of traces,L_Real,846.0,0.0
Number of traces,L_AR,819.56,37.60300869114415
Number of traces,L_PNC,838.96,49.31283767535549
Event distribution,L_Real,1.0,0.0
Event distribution,L_AR,0.936282596128109,0.009967592327098032
Event distribution,L_PNC,0.8878312098582062,0.010758822755501907
Trace length,L_Real,1.0,0.0
Trace length,L_AR,0.7446749601021354,0.008584145324822805
Trace length,L_PNC,0.6691421313638591,0.022206072021149412
Throughput time,L_Real,1.0,0.0
Throughput time,L_AR,0.6424140063675498,0.10335885952206035
Throughput time,L_PNC,0.6047714285714286,0.11787792811599729
